 success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r
1,0.35,0.02,0.52,0.0,0.22,0.0,0.0,0.0,0.55,0.02,0.27,0.4,0.12,0.73
1,0.38,0.05,0.47,0.1,0.17,0.0,0.0,0.0,0.45,0.02,0.22,0.5,0.08,0.48
1,0.35,0.15,0.54,0.1,0.15,0.0,0.0,0.0,0.3,0.02,0.08,0.49,0.08,0.43
1,0.34,0.2,0.72,0.1,0.17,0.0,0.0,0.0,0.15,0.0,0.0,0.44,0.0,0.28
1,0.2,0.16,0.75,0.0,0.17,0.0,0.0,0.0,0.13,0.0,0.0,0.2,0.0,0.32
1,0.12,0.06,0.66,0.0,0.15,0.0,0.0,0.0,0.17,0.0,0.0,0.1,0.0,0.22
1,0.04,0.02,0.51,0.0,0.13,0.0,0.0,0.0,0.15,0.01,0.0,0.12,0.0,0.16
1,0.05,0.03,0.62,0.0,0.19,0.03,0.0,0.0,0.2,0.01,0.0,0.18,0.0,0.25
1,0.13,0.01,0.65,0.0,0.19,0.03,0.0,0.0,0.17,0.01,0.0,0.3,0.0,0.24
1,0.15,0.01,0.74,0.0,0.17,0.03,0.0,0.0,0.18,0.01,0.0,0.32,0.03,0.31
1,0.23,0.0,0.66,0.0,0.15,0.02,0.0,0.0,0.1,0.01,0.0,0.35,0.03,0.28
1,0.18,0.01,0.63,0.0,0.14,0.02,0.0,0.0,0.07,0.01,0.0,0.21,0.03,0.31
1,0.24,0.05,0.63,0.0,0.16,0.03,0.0,0.0,0.07,0.0,0.0,0.11,0.0,0.3
1,0.32,0.17,0.65,0.0,0.13,0.01,0.0,0.09,0.19,0.0,0.13,0.02,0.06,0.28
1,0.37,0.42,0.7,0.01,0.09,0.01,0.0,0.2,0.28,0.0,0.37,0.0,0.13,0.28
1,0.5,0.67,0.7,0.01,0.03,0.0,0.0,0.32,0.38,0.04,0.53,0.0,0.34,0.25
1,0.56,0.78,0.7,0.01,0.0,0.0,0.0,0.35,0.31,0.12,0.47,0.0,0.43,0.19
1,0.67,0.79,0.67,0.0,0.0,0.0,0.0,0.34,0.35,0.22,0.32,0.0,0.46,0.1
1,0.65,0.85,0.67,0.0,0.0,0.0,0.0,0.28,0.41,0.28,0.35,0.0,0.37,0.18
1,0.56,0.89,0.64,0.0,0.0,0.0,0.0,0.23,0.55,0.26,0.49,0.0,0.36,0.35
1,0.41,0.83,0.53,0.0,0.0,0.0,0.0,0.24,0.61,0.23,0.56,0.0,0.41,0.55
